,Source,Data,Uncertainty
0,Gravity_Obs,23274.844180935495,401.40116682562893
1,RTP,5170.952139972731,78.68649213834874
2,Mag_Norm,5133.256036694222,85.4484601803679
3,Grav1,32001.952612662157,2961.078311657435
4,Grav2,31742.414550100442,3751.1694376731607
5,Mag1,5489.96719539947,121.68801401472949
6,Mag2,5215.219393739264,91.49189245522813
7,Mag3,5319.057572114914,108.45342756348882
8,Mag1_2.5,6118.900622712157,57.00177573490248
9,Mag2_2.5,6571.444581961872,52.61482388869491
10,Mag3_2.5,6165.307386865235,67.71284370731291
11,BottMag,6288.927217435449,268.65131303342264
12,BottGrav,28947.8181536721,8223.996872081167
