,Model,DataType,Data
0,Grav1,SSR,6.566065803864587
1,Grav1,SSR/ndf,0.011091327371392883
2,Grav2,SSR,3.6053096610643705
3,Grav2,SSR/ndf,0.006090050103149274
4,Mag3_2.75,SSR,10.907675761033827
5,Mag3_2.75,SSR/ndf,0.01877396860763137
6,Mag3_2.5,SSR,14.925971744800778
7,Mag3_2.5,SSR/ndf,0.025690140696731114
8,Mag1_2.75,SSR,9.363904111644427
9,Mag1_2.75,SSR/ndf,0.016116874546720183
10,Mag1_2.5,SSR,15.30681344797411
11,Mag1_2.5,SSR/ndf,0.026345634161745454
12,Mag2_2.75,SSR,13.037187188618088
13,Mag2_2.75,SSR/ndf,0.02243922063445454
14,Mag2_2.5,SSR,14.462665789965147
15,Mag2_2.5,SSR/ndf,0.02489271220303812
